,FIG,NCBI_protein_ID,NCBI_chr,NCBI_locus,NCBI_protein_desc,NCBI_location
3357,FIG|691.12.PEG.3480,ALR17849.1,CP009978.1,PN96_17945,oxidoreductase,682122..683105
3358,FIG|691.12.PEG.3481,ALR17850.1,CP009978.1,PN96_17950,Fis family transcriptional regulator,complement(683360..684697)
3359,FIG|691.12.PEG.3482,ALR17851.1,CP009978.1,PN96_17955,hypothetical protein,complement(684829..685143)
3360,FIG|691.12.PEG.3483,ALR18860.1,CP009978.1,PN96_17960,hypothetical protein,685535..685738
3361,FIG|691.12.PEG.3484,ALR17852.1,CP009978.1,PN96_17965,hypothetical protein,685896..686540
3362,FIG|691.12.PEG.3485,ALR17853.1,CP009978.1,PN96_17970,hypothetical protein,686540..686854
3363,FIG|691.12.PEG.3487,ALR17854.1,CP009978.1,PN96_17980,ATPase,688246..690819
3364,FIG|691.12.PEG.3488,ALR17855.1,CP009978.1,PN96_17985,MarR family transcriptional regulator,690994..691449
3365,FIG|691.12.PEG.3489,ALR17856.1,CP009978.1,PN96_17990,hemolysin D,691483..692541
3366,FIG|691.12.PEG.3490,ALR17857.1,CP009978.1,PN96_17995,"1,4-alpha-glucan branching protein",692554..693591
3367,FIG|691.12.PEG.3491,ALR17858.1,CP009978.1,PN96_18000,pilus assembly protein PilZ,complement(693620..694279)
3368,FIG|691.12.PEG.3492,ALR17859.1,CP009978.1,PN96_18005,membrane protein,complement(694512..695438)
3369,FIG|691.12.PEG.3493,ALR17860.1,CP009978.1,PN96_18010,AsnC family transcriptional regulator,695588..696043
3370,FIG|691.12.PEG.3494,ALR17861.1,CP009978.1,PN96_18015,ATPase,complement(696482..697048)
3371,FIG|691.12.PEG.3495,ALR17862.1,CP009978.1,PN96_18020,hypothetical protein,697153..697821
3372,FIG|691.12.PEG.3496,ALR17863.1,CP009978.1,PN96_18025,hypothetical protein,697956..698435
3373,FIG|691.12.PEG.3497,ALR17864.1,CP009978.1,PN96_18030,preprotein translocase subunit SecD,698605..700443
3374,FIG|691.12.PEG.3498,ALR17865.1,CP009978.1,PN96_18035,preprotein translocase subunit SecF,700446..701348
3375,FIG|691.12.PEG.3499,ALR17866.1,CP009978.1,PN96_18040,threonine transporter RhtB,complement(701497..701994)
3376,FIG|691.12.PEG.3500,ALR17867.1,CP009978.1,PN96_18045,3-ketoacyl-ACP reductase,702842..703582
3377,FIG|691.12.PEG.3501,ALR18861.1,CP009978.1,PN96_18050,acetyl-CoA acetyltransferase,703600..704808
3378,FIG|691.12.PEG.3502,ALR17868.1,CP009978.1,PN96_18055,PHA granule-associated protein,704854..705201
3379,FIG|691.12.PEG.3503,ALR17869.1,CP009978.1,PN96_18060,poly(3-hydroxyalkanoate) synthetase,705268..707037
3380,FIG|691.12.PEG.3505,ALR17870.1,CP009978.1,PN96_18065,cytochrome C,complement(707379..707957)
3381,FIG|691.12.PEG.3506,ALR17871.1,CP009978.1,PN96_18070,nitrate reductase,complement(707986..708441)
3382,FIG|691.12.PEG.3507,ALR17872.1,CP009978.1,PN96_18075,nitrate reductase,complement(708521..711010)
3383,FIG|691.12.PEG.3508,ALR17873.1,CP009978.1,PN96_18080,nitrate reductase,complement(711007..711315)
3384,FIG|691.12.PEG.3509,ALR17874.1,CP009978.1,PN96_18085,ferredoxin,complement(711353..711838)
3385,FIG|691.12.PEG.3510,ALR17875.1,CP009978.1,PN96_18090,histidine kinase,712100..713836
3386,FIG|691.12.PEG.3511,ALR17876.1,CP009978.1,PN96_18095,nitrate/nitrite response regulator,713841..714455
3387,FIG|691.12.PEG.3512,ALR17877.1,CP009978.1,PN96_18100,RNA helicase,complement(714503..714676)
3388,FIG|691.12.PEG.3513,ALR18862.1,CP009978.1,PN96_18105,hypothetical protein,714938..715798
3389,FIG|691.12.PEG.3514,ALR17878.1,CP009978.1,PN96_18110,peptidase T,715902..717134
3390,FIG|691.12.PEG.3515,ALR18863.1,CP009978.1,PN96_18115,cell division protein DedD,complement(717214..717678)
3391,FIG|691.12.PEG.3516,ALR17879.1,CP009978.1,PN96_18120,membrane protein,718064..719191
3392,FIG|691.12.PEG.3517,ALR17880.1,CP009978.1,PN96_18125,RND transporter,719200..722352
3393,FIG|691.12.PEG.3518,ALR17881.1,CP009978.1,PN96_18130,chemotaxis protein,complement(722443..724212)
3394,FIG|691.12.PEG.3519,ALR17882.1,CP009978.1,PN96_18135,peptidyl-tRNA hydrolase,complement(724298..724711)
3395,FIG|691.12.PEG.3520,ALR17883.1,CP009978.1,PN96_18140,carotenoid dehydrogenase,724788..725390
3396,FIG|691.12.PEG.3521,ALR17884.1,CP009978.1,PN96_18145,membrane protein,complement(725497..726480)
3397,FIG|691.12.PEG.3522,ALR17885.1,CP009978.1,PN96_18150,phospho-2-dehydro-3-deoxyheptonate aldolase,726941..727993
3398,FIG|691.12.PEG.3523,ALR17886.1,CP009978.1,PN96_18155,chemotaxis protein,728316..729884
3399,FIG|691.12.PEG.3524,ALR17887.1,CP009978.1,PN96_18160,transketolase,complement(729972..731963)
3400,FIG|691.12.PEG.3525,ALR17888.1,CP009978.1,PN96_18165,transaldolase,complement(732046..732996)
3401,FIG|691.12.PEG.3526,ALR17889.1,CP009978.1,PN96_18170,DNA-binding protein,733462..734463
3402,FIG|691.12.PEG.3528,ALR17890.1,CP009978.1,PN96_18175,TRAP ABC transporter substrate-binding protein,735177..736106
3403,FIG|691.12.PEG.3529,ALR17891.1,CP009978.1,PN96_18180,transporter,736215..738110
3404,FIG|691.12.PEG.3530,ALR17892.1,CP009978.1,PN96_18185,thiosulfate sulfurtransferase,complement(738215..739045)
3405,FIG|691.12.PEG.3531,ALR17893.1,CP009978.1,PN96_18190,transcription-repair coupling factor,complement(739089..739385)
3406,FIG|691.12.PEG.3532,ALR17894.1,CP009978.1,PN96_18195,molybdopterin-synthase adenylyltransferase,complement(739537..740286)
3407,FIG|691.12.PEG.3533,ALR17895.1,CP009978.1,PN96_18200,molybdenum cofactor biosynthesis protein MoaA,complement(740296..741531)
3408,FIG|691.12.PEG.3534,ALR17896.1,CP009978.1,PN96_18205,GTP cyclohydrolase,741810..742463
3409,FIG|691.12.PEG.3535,ALR17897.1,CP009978.1,PN96_18210,tellurium resistance protein,complement(742505..743470)
3410,FIG|691.12.PEG.3536,ALR17898.1,CP009978.1,PN96_18215,H(+)/Cl(-) exchange transporter ClcA,complement(743797..745200)
3411,FIG|691.12.PEG.3537,ALR17899.1,CP009978.1,PN96_18220,hypothetical protein,745704..746285
3412,FIG|691.12.PEG.3538,ALR17900.1,CP009978.1,PN96_18225,DNA-binding protein,complement(746272..746697)
3413,FIG|691.12.PEG.3539,ALR17901.1,CP009978.1,PN96_18230,oxidoreductase,746793..747701
3414,FIG|691.12.PEG.3540,ALR17902.1,CP009978.1,PN96_18235,NAD(P)H-hydrate epimerase,747796..749322
3415,FIG|691.12.PEG.3541,ALR17903.1,CP009978.1,PN96_18240,guanosine 5'-monophosphate oxidoreductase,749735..750778
3416,FIG|691.12.PEG.3542,ALR17904.1,CP009978.1,PN96_18245,integrase,complement(750902..751117)
3417,FIG|691.12.PEG.3543,ALR17905.1,CP009978.1,PN96_18250,transcriptional regulator,complement(751259..752191)
3418,FIG|691.12.PEG.3544,ALR17906.1,CP009978.1,PN96_18255,hypothetical protein,752344..753261
3419,FIG|691.12.PEG.3545,ALR17908.1,CP009978.1,PN96_18265,NAD-dependent dehydratase,753773..754411
3420,FIG|691.12.PEG.3546,ALR17909.1,CP009978.1,PN96_18270,short-chain dehydrogenase,754556..755386
3421,FIG|691.12.PEG.3547,ALR17910.1,CP009978.1,PN96_18275,NADH:flavin oxidoreductase,755515..756648
3422,FIG|691.12.PEG.3548,ALR17911.1,CP009978.1,PN96_18280,hypothetical protein,756961..758088
3423,FIG|691.12.PEG.3549,ALR17912.1,CP009978.1,PN96_18285,hypothetical protein,758354..759268
3424,FIG|691.12.PEG.3550,ALR18864.1,CP009978.1,PN96_18290,alpha/beta hydrolase,759345..760283
3425,FIG|691.12.PEG.3551,ALR17913.1,CP009978.1,PN96_18295,hypothetical protein,760390..761007
3426,FIG|691.12.PEG.3552,ALR17914.1,CP009978.1,PN96_18300,AraC family transcriptional regulator,761025..761924
3427,FIG|691.12.PEG.3553,ALR18865.1,CP009978.1,PN96_18305,IclR family transcriptional regulator,complement(761983..762750)
3428,FIG|691.12.PEG.3554,ALR17915.1,CP009978.1,PN96_18310,3-oxoadipate enol-lactone hydrolase,complement(762895..763683)
3429,FIG|691.12.PEG.3555,ALR17916.1,CP009978.1,PN96_18315,beta-ketoadipyl CoA thiolase,complement(763697..764899)
3430,FIG|691.12.PEG.3556,ALR17917.1,CP009978.1,PN96_18320,3-oxoadipate:succinyl-CoA transferase,complement(764908..765684)
3431,FIG|691.12.PEG.3557,ALR17918.1,CP009978.1,PN96_18325,3-oxoadipate:succinyl-CoA transferase,complement(765684..766499)
3432,FIG|691.12.PEG.3558,ALR17919.1,CP009978.1,PN96_18330,transcriptional regulator,complement(766803..767705)
3433,FIG|691.12.PEG.3559,ALR17920.1,CP009978.1,PN96_18335,muconate cycloisomerase,767834..768952
3434,FIG|691.12.PEG.3560,ALR17921.1,CP009978.1,PN96_18340,muconolactone delta-isomerase,768971..769261
3435,FIG|691.12.PEG.3561,ALR17922.1,CP009978.1,PN96_18345,"catechol 1,2-dioxygenase",769322..770263
3436,FIG|691.12.PEG.3562,ALR17923.1,CP009978.1,PN96_18350,"benzene 1,2-dioxygenase",770364..771740
3437,FIG|691.12.PEG.3563,ALR17924.1,CP009978.1,PN96_18355,"benzene 1,2-dioxygenase",771737..772228
3438,FIG|691.12.PEG.3564,ALR17925.1,CP009978.1,PN96_18360,NADH oxidase,772249..773280
3439,FIG|691.12.PEG.3565,ALR17926.1,CP009978.1,PN96_18365,"1,6-dihydroxycyclohexa-2,4-diene-1-carboxylate dehydrogenase",773277..774056
3440,FIG|691.12.PEG.3567,ALR17927.1,CP009978.1,PN96_18375,LysR family transcriptional regulator,complement(775704..776594)
3441,FIG|691.12.PEG.3568,ALR17928.1,CP009978.1,PN96_18380,amidohydrolase,776709..777938
3442,FIG|691.12.PEG.3569,ALR17929.1,CP009978.1,PN96_18385,C4-dicarboxylate ABC transporter,777981..779393
3443,FIG|691.12.PEG.3570,ALR17930.1,CP009978.1,PN96_18390,AsnC family transcriptional regulator,complement(780168..780620)
3444,FIG|691.12.PEG.3571,ALR17931.1,CP009978.1,PN96_18395,ornithine cyclodeaminase,780776..781822
3445,FIG|691.12.PEG.3572,ALR17932.1,CP009978.1,PN96_18400,sodium:proton antiporter,782152..783606
3446,FIG|691.12.PEG.3574,ALR17933.1,CP009978.1,PN96_18405,hypothetical protein,784129..785115
3447,FIG|691.12.PEG.3575,ALR17934.1,CP009978.1,PN96_18410,glutamine amidotransferase,785088..785753
3448,FIG|691.12.PEG.3576,ALR17935.1,CP009978.1,PN96_18415,AraC family transcriptional regulator,complement(785791..786669)
3449,FIG|691.12.PEG.3577,ALR17937.1,CP009978.1,PN96_18425,membrane protein,complement(787184..788098)
3450,FIG|691.12.PEG.3578,ALR18866.1,CP009978.1,PN96_18430,LysR family transcriptional regulator,788195..789124
3451,FIG|691.12.PEG.3579,ALR17938.1,CP009978.1,PN96_18435,hydroxyglutarate oxidase,complement(789230..790465)
3452,FIG|691.12.PEG.3580,ALR17939.1,CP009978.1,PN96_18440,protein CsiD,complement(790563..791519)
3453,FIG|691.12.PEG.3581,ALR17940.1,CP009978.1,PN96_18445,TRAP ABC transporter substrate-binding protein,791950..792891
3454,FIG|691.12.PEG.3582,ALR17941.1,CP009978.1,PN96_18450,transporter,792905..794809
3455,FIG|691.12.PEG.3583,ALR17942.1,CP009978.1,PN96_18455,LysR family transcriptional regulator,complement(794874..795761)
3456,FIG|691.12.PEG.3584,ALR17943.1,CP009978.1,PN96_18460,hypothetical protein,complement(795938..796258)
3457,FIG|691.12.PEG.3585,ALR17944.1,CP009978.1,PN96_18465,peptidase,complement(796541..798883)
3458,FIG|691.12.PEG.3586,ALR17945.1,CP009978.1,PN96_18470,aldo/keto reductase,complement(799070..800101)
3459,FIG|691.12.PEG.3587,ALR17946.1,CP009978.1,PN96_18475,oxidoreductase,complement(800128..801075)
3460,FIG|691.12.PEG.3588,ALR17947.1,CP009978.1,PN96_18480,6-phosphogluconate dehydrogenase,complement(801099..802016)
3461,FIG|691.12.PEG.3589,ALR17948.1,CP009978.1,PN96_18485,transcriptional regulator,complement(802129..803346)
3462,FIG|691.12.PEG.3590,ALR17949.1,CP009978.1,PN96_18490,C4-dicarboxylate ABC transporter substrate-binding protein,803758..804759
3463,FIG|691.12.PEG.3591,ALR17950.1,CP009978.1,PN96_18495,C4-dicarboxylate ABC transporter permease,804817..805308
3464,FIG|691.12.PEG.3592,ALR17951.1,CP009978.1,PN96_18500,C4-dicarboxylate ABC transporter permease,805318..806583
3465,FIG|691.12.PEG.3593,ALR17952.1,CP009978.1,PN96_18505,transporter,806596..807522
3466,FIG|691.12.PEG.3594,ALR17953.1,CP009978.1,PN96_18510,xylose isomerase,807609..809432
3467,FIG|691.12.PEG.3595,ALR17954.1,CP009978.1,PN96_18515,3-dehydroquinate dehydratase,complement(809539..809982)
3468,FIG|691.12.PEG.3596,ALR17955.1,CP009978.1,PN96_18520,shikimate dehydrogenase,complement(809998..810834)
3469,FIG|691.12.PEG.3597,ALR18867.1,CP009978.1,PN96_18525,4-oxalomesaconate hydratase,811184..812194
3470,FIG|691.12.PEG.3598,ALR17956.1,CP009978.1,PN96_18530,hypothetical protein,812206..812883
3471,FIG|691.12.PEG.3599,ALR17957.1,CP009978.1,PN96_18535,4-oxalomesaconate tautomerase,812876..813934
3472,FIG|691.12.PEG.3600,ALR17958.1,CP009978.1,PN96_18540,"2-pyrone-4,6-dicarboxylate hydrolase",813951..814829
3473,FIG|691.12.PEG.3601,ALR17959.1,CP009978.1,PN96_18545,"protocatechuate 3,4-dioxygenase",814831..815184
3474,FIG|691.12.PEG.3602,ALR17960.1,CP009978.1,PN96_18550,"protocatechuate 3,4-dioxygenase",815187..816026
3475,FIG|691.12.PEG.3603,ALR17961.1,CP009978.1,PN96_18555,hypothetical protein,complement(816253..817236)
3476,FIG|691.12.PEG.3604,ALR17962.1,CP009978.1,PN96_18560,membrane protein,complement(817343..819436)
3477,FIG|691.12.PEG.3605,ALR17963.1,CP009978.1,PN96_18565,LysR family transcriptional regulator,819598..820494
3478,FIG|691.12.PEG.3606,ALR17964.1,CP009978.1,PN96_18570,hypothetical protein,complement(820790..822319)
3479,FIG|691.12.PEG.3607,ALR17965.1,CP009978.1,PN96_18575,hypothetical protein,complement(822679..823794)
3480,FIG|691.12.PEG.3608,ALR17966.1,CP009978.1,PN96_18580,4-hydroxybenzoate 3-monooxygenase,complement(824140..825360)
3481,FIG|691.12.PEG.3609,ALR17967.1,CP009978.1,PN96_18585,AraC family transcriptional regulator,825496..826395
3482,FIG|691.12.PEG.3610,ALR17968.1,CP009978.1,PN96_18590,beta-lactamase,complement(826408..827325)
3483,FIG|691.12.PEG.3611,ALR17969.1,CP009978.1,PN96_18595,C4-dicarboxylate ABC transporter permease,complement(827398..828684)
3484,FIG|691.12.PEG.3612,ALR17970.1,CP009978.1,PN96_18600,C4-dicarboxylate ABC transporter substrate-binding protein,complement(828684..829274)
3485,FIG|691.12.PEG.3613,ALR17971.1,CP009978.1,PN96_18605,C4-dicarboxylate ABC transporter substrate-binding protein,complement(829311..830336)
3486,FIG|691.12.PEG.3614,ALR17972.1,CP009978.1,PN96_18610,hypothetical protein,830733..831299
3487,FIG|691.12.PEG.3616,ALR17973.1,CP009978.1,PN96_18615,toxin ABC transporter,831580..833232
3488,FIG|691.12.PEG.3619,ALR17974.1,CP009978.1,PN96_18625,secretion protein HylD,835318..836643
3489,FIG|691.12.PEG.3620,ALR17975.1,CP009978.1,PN96_18630,hypothetical protein,836656..849450
3490,FIG|691.12.PEG.3621,ALR17976.1,CP009978.1,PN96_18635,C4-dicarboxylate ABC transporter permease,complement(849555..850850)
3491,FIG|691.12.PEG.3622,ALR17977.1,CP009978.1,PN96_18640,TRAP C4-dicarboxylate transporter,complement(850852..851376)
3492,FIG|691.12.PEG.3623,ALR18868.1,CP009978.1,PN96_18645,C4-dicarboxylate ABC transporter substrate-binding protein,complement(851386..852366)
3493,FIG|691.12.PEG.3624,ALR17978.1,CP009978.1,PN96_18650,enoyl-CoA hydratase,852694..854745
3494,FIG|691.12.PEG.3625,ALR17979.1,CP009978.1,PN96_18655,ATPase AAA,854938..855867
3495,FIG|691.12.PEG.3626,ALR17980.1,CP009978.1,PN96_18660,phenylacetate-CoA oxygenase,855908..856195
3496,FIG|691.12.PEG.3627,ALR17981.1,CP009978.1,PN96_18665,phenylacetic acid degradation protein,856206..856964
3497,FIG|691.12.PEG.3628,ALR17982.1,CP009978.1,PN96_18670,phenylacetic acid degradation protein,856971..857480
3498,FIG|691.12.PEG.3629,ALR17983.1,CP009978.1,PN96_18675,phenylacetic acid degradation protein,857495..858550
3499,FIG|691.12.PEG.3630,ALR18869.1,CP009978.1,PN96_18680,"2,3-dehydroadipyl-CoA hydratase",858586..859347
3500,FIG|691.12.PEG.3631,ALR17984.1,CP009978.1,PN96_18685,enoyl-CoA hydratase,859351..860139
3501,FIG|691.12.PEG.3632,ALR17985.1,CP009978.1,PN96_18690,3-hydroxybutyryl-CoA dehydrogenase,860143..861651
3502,FIG|691.12.PEG.3633,ALR18870.1,CP009978.1,PN96_18695,acyl-CoA thioesterase,861735..862127
3503,FIG|691.12.PEG.3634,ALR17986.1,CP009978.1,PN96_18700,beta-ketoadipyl CoA thiolase,862128..863330
3504,FIG|691.12.PEG.3635,ALR17987.1,CP009978.1,PN96_18705,phenylacetate--CoA ligase,863402..864703
3505,FIG|691.12.PEG.3636,ALR18871.1,CP009978.1,PN96_18710,hypothetical protein,864877..865767
3506,FIG|691.12.PEG.3637,ALR17988.1,CP009978.1,PN96_18715,phenylacetic acid degradation protein PaaY,865794..866387
3507,FIG|691.12.PEG.3639,ALR17989.1,CP009978.1,PN96_18720,malonate transporter,866862..867248
3508,FIG|691.12.PEG.3640,ALR17990.1,CP009978.1,PN96_18725,malonate transporter,867260..868024
3509,FIG|691.12.PEG.3641,ALR18872.1,CP009978.1,PN96_18730,signal peptide protein,868357..868611
3510,FIG|691.12.PEG.3642,ALR17991.1,CP009978.1,PN96_18735,cytochrome B,868604..869110
3511,FIG|691.12.PEG.3643,ALR17992.1,CP009978.1,PN96_18740,thioesterase,869379..869855
3512,FIG|691.12.PEG.3644,ALR17993.1,CP009978.1,PN96_18745,chloramphenicol acetyltransferase,870036..870665
3513,FIG|691.12.PEG.3645,ALR17994.1,CP009978.1,PN96_18750,sugar dehydrogenase,870736..871488
3514,FIG|691.12.PEG.3646,ALR17995.1,CP009978.1,PN96_18755,GNAT family acetyltransferase,871867..872373
3515,FIG|691.12.PEG.3647,ALR17996.1,CP009978.1,PN96_18760,antibiotic biosynthesis monooxygenase,872386..872664
3516,FIG|691.12.PEG.3648,ALR17997.1,CP009978.1,PN96_18765,LysR family transcriptional regulator,complement(872667..873542)
3517,FIG|691.12.PEG.3649,ALR17998.1,CP009978.1,PN96_18770,nitrilase,873691..874635
3518,FIG|691.12.PEG.3650,ALR18873.1,CP009978.1,PN96_18775,guanine deaminase,complement(874667..875992)
3519,FIG|691.12.PEG.3651,ALR17999.1,CP009978.1,PN96_18780,aldo/keto reductase,876467..877306
3520,FIG|691.12.PEG.3652,ALR18000.1,CP009978.1,PN96_18785,DeoR faimly transcriptional regulator,complement(877314..878087)
3521,FIG|691.12.PEG.3653,ALR18001.1,CP009978.1,PN96_18790,oxidoreductase,878368..879267
3522,FIG|691.12.PEG.3654,ALR18002.1,CP009978.1,PN96_18795,membrane protein,879292..880548
3523,FIG|691.12.PEG.3655,ALR18003.1,CP009978.1,PN96_18800,aldolase,880560..881207
3524,FIG|691.12.PEG.3656,ALR18004.1,CP009978.1,PN96_18805,hydroxypyruvate isomerase,881207..881983
3525,FIG|691.12.PEG.3657,ALR18005.1,CP009978.1,PN96_18810,gluconate permease,882141..883595
3526,FIG|691.12.PEG.3658,ALR18006.1,CP009978.1,PN96_18815,NAD+ synthetase,883773..885863
3527,FIG|691.12.PEG.3659,ALR18007.1,CP009978.1,PN96_18820,C factor cell-cell signaling protein,complement(885941..886123)
3528,FIG|691.12.PEG.3660,ALR18874.1,CP009978.1,PN96_18825,hypothetical protein,complement(886505..886852)
3529,FIG|691.12.PEG.3661,ALR18875.1,CP009978.1,PN96_18830,Rrf2 family transcriptional regulator,complement(886979..887362)
3530,FIG|691.12.PEG.3662,ALR18008.1,CP009978.1,PN96_18835,pyruvate formate lyase-activating protein,complement(887557..888645)
3531,FIG|691.12.PEG.3663,ALR18009.1,CP009978.1,PN96_18840,hypothetical protein,888710..889513
3532,FIG|691.12.PEG.3664,ALR18010.1,CP009978.1,PN96_18845,hypothetical protein,889491..890069
3533,FIG|691.12.PEG.3665,ALR18011.1,CP009978.1,PN96_18850,hypothetical protein,complement(890084..890689)
3534,FIG|691.12.PEG.3666,ALR18012.1,CP009978.1,PN96_18855,metallophosphoesterase,complement(890847..891605)
3535,FIG|691.12.PEG.3667,ALR18013.1,CP009978.1,PN96_18860,LysR family transcriptional regulator,complement(891704..892582)
3536,FIG|691.12.PEG.3668,ALR18014.1,CP009978.1,PN96_18865,major facilitator transporter,892749..893951
3537,FIG|691.12.PEG.3669,ALR18015.1,CP009978.1,PN96_18870,acetylserine transporter,894178..895086
3538,FIG|691.12.PEG.3670,ALR18016.1,CP009978.1,PN96_18875,"4,5-dioxygenase",895275..895646
3539,FIG|691.12.PEG.3671,ALR18017.1,CP009978.1,PN96_18880,metal-dependent phosphohydrolase,895844..899053
3540,FIG|691.12.PEG.3672,ALR18018.1,CP009978.1,PN96_18885,electron transfer flavoprotein subunit beta,complement(899127..900053)
3541,FIG|691.12.PEG.3673,ALR18019.1,CP009978.1,PN96_18890,electron transporter RnfB,complement(900050..900802)
3542,FIG|691.12.PEG.3674,ALR18020.1,CP009978.1,PN96_18895,electron transfer flavoprotein-ubiquinone oxidoreductase,900962..902599
3543,FIG|691.12.PEG.3675,ALR18021.1,CP009978.1,PN96_18900,ABC transporter,902841..903641
3544,FIG|691.12.PEG.3676,ALR18022.1,CP009978.1,PN96_18905,AMP-dependent synthetase,903641..905593
3545,FIG|691.12.PEG.3677,ALR18023.1,CP009978.1,PN96_18910,ABC transporter permease,905593..906486
3546,FIG|691.12.PEG.3678,ALR18024.1,CP009978.1,PN96_18915,ABC transporter permease,906498..907565
3547,FIG|691.12.PEG.3679,ALR18025.1,CP009978.1,PN96_18920,branched-chain amino acid ABC transporter substrate-binding protein,907876..909120
3548,FIG|691.12.PEG.3680,ALR18026.1,CP009978.1,PN96_18925,branched-chain amino acid ABC transporter ATP-binding protein,909200..910021
3549,FIG|691.12.PEG.3681,ALR18027.1,CP009978.1,PN96_18930,AMP-dependent synthetase,910031..911233
3550,FIG|691.12.PEG.3682,ALR18028.1,CP009978.1,PN96_18935,thiopurine S-methyltransferase,911334..911936
3551,FIG|691.12.PEG.3683,ALR18029.1,CP009978.1,PN96_18940,hypothetical protein,complement(912049..912828)
3552,FIG|691.12.PEG.3684,ALR18030.1,CP009978.1,PN96_18945,cytochrome C,complement(913435..914094)
3553,FIG|691.12.PEG.3685,ALR18031.1,CP009978.1,PN96_18950,molybdopterin containing oxidoreductase,complement(914100..915413)
3554,FIG|691.12.PEG.3686,ALR18032.1,CP009978.1,PN96_18955,mechanosensitive ion channel protein,915724..916584
3555,FIG|691.12.PEG.3687,ALR18033.1,CP009978.1,PN96_18960,2-nitropropane dioxygenase,916730..917773
3556,FIG|691.12.PEG.3688,ALR18034.1,CP009978.1,PN96_18965,LysR family transcriptional regulator,complement(917806..918789)
3557,FIG|691.12.PEG.3689,ALR18035.1,CP009978.1,PN96_18970,amino acid ABC transporter,918998..919777
3558,FIG|691.12.PEG.3690,ALR18036.1,CP009978.1,PN96_18975,ABC transporter permease,919840..920556
3559,FIG|691.12.PEG.3691,ALR18037.1,CP009978.1,PN96_18980,ABC transporter permease,920567..921286
3560,FIG|691.12.PEG.3692,ALR18038.1,CP009978.1,PN96_18985,EBNA-1 nuclear protein,921369..922391
3561,FIG|691.12.PEG.3693,ALR18039.1,CP009978.1,PN96_18990,mandelate racemase,922384..923370
3562,FIG|691.12.PEG.3694,ALR18040.1,CP009978.1,PN96_18995,hypothetical protein,923953..924630
3563,FIG|691.12.PEG.3695,ALR18041.1,CP009978.1,PN96_19000,5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase,complement(924809..925837)
3564,FIG|691.12.PEG.3696,ALR18042.1,CP009978.1,PN96_19005,hypothetical protein,complement(925866..926843)
3565,FIG|691.12.PEG.3697,ALR18043.1,CP009978.1,PN96_19010,transcriptional regulator,927243..927665
3566,FIG|691.12.PEG.3698,ALR18044.1,CP009978.1,PN96_19015,hypothetical protein,927681..929582
3567,FIG|691.12.PEG.3699,ALR18045.1,CP009978.1,PN96_19020,hydroxymethylglutaryl-CoA lyase,complement(929691..930593)
3568,FIG|691.12.PEG.3700,ALR18046.1,CP009978.1,PN96_19025,3-methylcrotonyl-CoA carboxylase,complement(930574..932634)
3569,FIG|691.12.PEG.3701,ALR18047.1,CP009978.1,PN96_19030,gamma-carboxygeranoyl-CoA hydratase,complement(932627..933409)
3570,FIG|691.12.PEG.3702,ALR18048.1,CP009978.1,PN96_19035,methylcrotonoyl-CoA carboxylase,complement(933517..935124)
3571,FIG|691.12.PEG.3703,ALR18049.1,CP009978.1,PN96_19040,isovaleryl-CoA dehydrogenase,complement(935229..936398)
3572,FIG|691.12.PEG.3704,ALR18050.1,CP009978.1,PN96_19045,MerR family transcriptional regulator,complement(936444..936830)
3573,FIG|691.12.PEG.3705,ALR18051.1,CP009978.1,PN96_19050,acetyl-CoA acetyltransferase,937040..938218
3574,FIG|691.12.PEG.3706,ALR18052.1,CP009978.1,PN96_19055,methylmalonate-semialdehyde dehydrogenase,938289..939782
3575,FIG|691.12.PEG.3707,ALR18053.1,CP009978.1,PN96_19060,acyl-CoA dehydrogenase,939867..941021
3576,FIG|691.12.PEG.3708,ALR18054.1,CP009978.1,PN96_19065,enoyl-CoA hydratase,941070..941846
3577,FIG|691.12.PEG.3709,ALR18876.1,CP009978.1,PN96_19070,enoyl-CoA hydratase,941874..943004
3578,FIG|691.12.PEG.3710,ALR18055.1,CP009978.1,PN96_19075,3-hydroxyisobutyrate dehydrogenase,943051..943947
3579,FIG|691.12.PEG.3711,ALR18056.1,CP009978.1,PN96_19080,3-ketoacyl-ACP reductase,943957..944715
3580,FIG|691.12.PEG.3712,ALR18057.1,CP009978.1,PN96_19085,BetI family transcriptional regulator,945341..945940
3581,FIG|691.12.PEG.3713,ALR18058.1,CP009978.1,PN96_19090,betaine-aldehyde dehydrogenase,945959..947419
3582,FIG|691.12.PEG.3714,ALR18059.1,CP009978.1,PN96_19095,choline dehydrogenase,947439..949139
3583,FIG|691.12.PEG.3715,ALR18060.1,CP009978.1,PN96_19100,glycine/betaine ABC transporter substrate-binding protein,949186..950124
3584,FIG|691.12.PEG.3716,ALR18061.1,CP009978.1,PN96_19105,ABC transporter permease,950217..951059
3585,FIG|691.12.PEG.3717,ALR18062.1,CP009978.1,PN96_19110,ABC transporter ATP-binding protein,951062..952246
3586,FIG|691.12.PEG.3718,ALR18063.1,CP009978.1,PN96_19115,hypothetical protein,complement(952346..953128)
3587,FIG|691.12.PEG.3719,ALR18064.1,CP009978.1,PN96_19120,serine protease,complement(953138..954517)
3588,FIG|691.12.PEG.3720,ALR18877.1,CP009978.1,PN96_19125,diguanylate cyclase,complement(954704..957427)
